experiment_id,run_id,condition,baseline_type,seed,episode_number,kill_rate,kills,survival_time,damage_dealt,damage_taken,ammo_efficiency,exploration_coverage,decision_latency_p99,rule_match_rate,decision_level_counts,total_ticks,shots_fired,hits,cells_visited,started_at,completed_at
DOE-001,DOE-001-full_agent,full_agent,full_agent,42,1,12.487727998141901,40,192.18868319017724,4600.360956645165,474.7603135295394,0.36587577736153964,0.5046730739706522,46.91760604750928,0.26205088891877015,"{""0"": 1762, ""1"": 2354, ""2"": 1681, ""255"": 929}",6726,109,39,252,2026-02-08 09:34:00.533179,
DOE-001,DOE-001-full_agent,full_agent,full_agent,73,2,17.172073094216188,39,136.26776377909474,3602.343961693207,292.69437388757297,0.6403730683945605,0.4079820020248053,52.52063377421516,0.18405789781955262,"{""0"": 877, ""1"": 1669, ""2"": 1192, ""255"": 1031}",4769,60,38,203,2026-02-08 09:34:00.533492,
DOE-001,DOE-001-full_agent,full_agent,full_agent,104,3,16.001211652241246,54,202.48466618752474,4727.746736601037,403.97563437420354,0.6000645518156247,0.7086141152940636,77.74102972384331,0.2659384097863524,"{""0"": 1884, ""1"": 2480, ""2"": 1771, ""255"": 951}",7086,89,53,354,2026-02-08 09:34:00.533800,
DOE-001,DOE-001-full_agent,full_agent,full_agent,135,4,15.529246682697762,50,193.18387178062625,4826.024527938583,261.50398609372536,0.9258732919864178,0.5576726527466497,36.671633674187625,0.2967026390221324,"{""0"": 2006, ""1"": 2366, ""2"": 1690, ""255"": 699}",6761,54,49,278,2026-02-08 09:34:00.534096,
DOE-001,DOE-001-full_agent,full_agent,full_agent,166,5,17.24936335929172,45,156.5275160457206,5644.514475356244,282.22637671497716,0.6342619467777321,0.6026672144799833,37.43207103916922,0.28193298036061504,"{""0"": 1544, ""1"": 1917, ""2"": 1369, ""255"": 648}",5478,70,44,301,2026-02-08 09:34:00.534402,
DOE-001,DOE-001-full_agent,full_agent,full_agent,197,6,15.698945245986332,51,194.91755350776413,5757.05680405595,272.43648487148795,0.6821048690467024,0.6896175779062713,17.785483827007106,0.3351666759161552,"{""0"": 2286, ""1"": 2387, ""2"": 1705, ""255"": 444}",6822,74,50,344,2026-02-08 09:34:00.534730,
DOE-001,DOE-001-full_agent,full_agent,full_agent,228,7,16.225278118719697,55,203.38634418800314,5490.448494900808,384.46488788669757,0.7797358564582635,0.9229327488221162,40.575384714594186,0.1350599770260718,"{""0"": 961, ""1"": 2491, ""2"": 1779, ""255"": 1887}",7118,70,54,461,2026-02-08 09:34:00.535045,
DOE-001,DOE-001-full_agent,full_agent,full_agent,259,8,15.605962445121323,66,253.7491688785885,6671.201035835008,578.8837812289387,0.4891932477165027,0.5302740242308431,61.68157497706674,0.16114848132620743,"{""0"": 1431, ""1"": 3108, ""2"": 2220, ""255"": 2122}",8881,134,65,265,2026-02-08 09:34:00.535364,
DOE-001,DOE-001-full_agent,full_agent,full_agent,290,9,15.208704394738248,47,185.42013355033941,4615.110189327637,448.62086031456147,0.634929794584164,0.6976227527245006,53.74796105911927,0.18031494814031054,"{""0"": 1170, ""1"": 2271, ""2"": 1622, ""255"": 1426}",6489,74,46,348,2026-02-08 09:34:00.535681,
DOE-001,DOE-001-full_agent,full_agent,full_agent,321,10,16.05279393151281,41,153.24435176177275,2904.1541038031037,192.37575081943223,0.548865696169541,0.6801527204291298,51.75205078548081,0.1949130315907972,"{""0"": 1045, ""1"": 1877, ""2"": 1340, ""255"": 1101}",5363,74,40,340,2026-02-08 09:34:00.535992,
